"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphic Designer","Design Creative","Somokalin Prokashon Limited","Not specific","At Somokalin Prokashon Limited, we are looking for a highly-skilled, dedicated `Graphic Designer` to be a part of our creative team.","Designing book covers and interiors.","Full-time","Bachelor degree in any discipline","Age at least 20 years","Dhaka (Banasree)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of Design & Product Development (DPD)","Design Creative","Fakir Fashion Ltd.(New Project)","1","Provide creative output and direction to ensure the overall vision for the product is achieved;
Lead, recruit, coach, and mentor a team of world-class product designers and user researchers;
Collaborate with members of cross-functional teams and be a champion for user-centered culture and design practices;
Create visually engaging, innovative and functional digital products;
Work closely with product managers, sample department, Merchandiser and QA and department to ensure a cohesive user experience across all products;
Organize teams that can provide design solutions effectively and with excellence across all departments;
Establish metrics and measurable goals to ensure a visibility into design's impact to business;
Identify improvement opportunities within the scope of design and other teams functioning holistically;
Build design culture that encourages innovation while balancing the need for optimization;
Communicate value of design thinking and a customer-first approach to strategy across all areas of the business","Provide creative output and direction to ensure the overall vision for the product is achieved;","Full-time","B.Sc in Fashion Design","Age 35 to 40 years","Narayanganj","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphic Designer","Design Creative","HMBR Tools & Chemichals Ltd.","02","We are looking for creative Graphic designer with up- to- date knowledge. Expert on logo design,brochure,annual calendar, packaging design, greeting card etc. Job location will be ""HMBR Tools And Chemicals Ltd."" kudabo, Mirer Bazar,Joydebpur, Gazipur.","Think creatively and develop new design concepts, graphics and layouts.","Full-time","Diploma or Bachelor of science (B.Sc) in Graphic Design","Age 24 to 32 years","Gazipur","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Designer - 3D","Design Creative","A 100% export oriented garment indsutry.","01","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.
Keeping up to date with emerging fashion trends and general trends relating to fabrics, colors, and silhouettes.
Planning and developing ranges within the time frame.
Creating trend tech packs and mood boards for own collection
Working with others in the team to develop products.
Understanding design from a technical perspective, i.e. producing patterns and technical specifications for designs
Sourcing, selecting, and buying fabrics, trims, fastenings and embellishments.
Negotiating with customers and suppliers
Any other responsibilities assigned by the management.
Must be proficient in CLO 3D","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.","Full-time","Bachelor of Science (BSc) in Fashion Design  Technology, Bachelor of Arts (BA)","Age 29 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Manager, Design & Development","Design Creative","Wave Riders Limited (Turaag Active)","1","Research on current fashion trends international/local, forecasting & determining customer demand.
Collaborate with the team to develop new ideas for new range based on research data
Prepare mood board, and color pallets.
Develop styles & fabric/materials concept 
Direct team to execute design, make range to get approval.
Plan materials/fabric concept and assign concern to execute.
Plan and follow up trims & accessories sourcing.
Sample execution follow-up and take necessary step to done by the deadline.
Prepare sample range by the deadline and arrange sign off meeting to select style to proceed in bulk.
Follow up fit sample, and conduct fit session with fit concern.
Engage in product photo shoot and ensure quality, fit & product concept.
Provide lab-dip, trims, fabric, styling and finalize PP approval.
Report to the management on running and upcoming projects.","Research on current fashion trends international/local, forecasting & determining customer demand.","Full-time","At least 5 year(s)","Age at least 28 years","Dhaka (Gulshan)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Video Editor","Design Creative","Western Education Group","20","This is basically a full-time job that you have to do at the office located in Shyamoli, Dhaka. However, in limited cases, you can do this job from anywhere in Bangladesh if you do it on a part-time basis.","Editing videos for social media platforms like YouTube, Facebook Watch, Reels, TikTok, Shorts, etc.","Full-time, Part-time","Diploma (Vocational), Bachelor degree in any discipline","Age 20 to 45 years","Anywhere in Bangladesh","Tk. 20000 - 25000 (Monthly)Full-time employees will get 20,000-25,000 Taka per month. Part-time employees will get 10,000-12500 Taka per month.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Project Manager for 3D / CGI Projects","Design Creative","Orendt Studios","Not specific","ORENDT STUDIOS is looking for an  Project Manager to scale the team in Dhaka.
You will be leading and organizing the jobs / projects for the teams in Dhaka.
The projects are 3D / CGI jobs and will be focusing on photorealistic digital product visualization, like furniture, household products, etc.
You will get the projects from your German colleagues, and you provide the information to the Dhaka team, brief them and check if the work is on time and as per the expected quality.","ORENDT STUDIOS is looking for an  Project Manager to scale the team in Dhaka.","Full-time","At least 2 year(s)","Knowledge about 3D media projects and processes","Dhaka","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Animator (Community - Based Field Officer)","Design Creative","Caritas Bangladesh ( Cox's Bazar Office )","3","Caritas Bangladesh (CB) is a national and non-profit development organization operating in Bangladesh 
since 1967. It has its Central Office in Dhaka and eight Regional Offices (Barishal, Chattogram, Dhaka, 
Dinajpur, Khulna, Mymensingh, Rajshahi and Sylhet Region). CB is implementing 89 on-going projects 
covering 189 Upazilas focusing on six main priorities i.e i) Social Welfare for Vulnerable Communities 
(SWVC), ii) Education and Child Development, iii) Nutrition and Health Education, iv) Disaster 
Management, v) Ecological Conservation and Food Security (ECFS), and vi) Development of Indigenous 
Peoples. 
Caritas Bangladesh (CB), Ukhiya Upazila Office, Cox`s Bazar is looking for suitable candidates for an 
immediate appointment as well as to prepare a panel list for Emergency Response to the Forcibly 
Displaced People of Myanmar in Bangladesh.
The details of the position including job responsibilities, educational qualification and other qualities
/competency required for the above position are given below for your information.
Job Nature : Temporary","Caritas Bangladesh (CB) is a national and non-profit development organization operating in Bangladesh","Full-time","Bachelor's degree in Theatre/Music/social science/Psychology/English or any relevant subject from a government-recognized university in Bangladesh.","Minimum 6 months of work experience in Protection/MHPSS/GBV/Child protection/Theatre activity in an emergency context.","Cox's Bazar","60,000 BDT (Consolidated) per month.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Visualizer","Design Creative","Boss Man Digital","1","The Visualizer is responsible for monitoring and overseeing the creative direction and execution of various marketing and design projects within the organization. He/she will lead a team of designers, and video editors and collaborate closely with cross-functional teams to deliver compelling visual assets and brand experiences that align with the company`s objectives and values.","Developing visual concepts and ideas for mediums like print, digital, and social media.","Full-time","Bachelor degree in any discipline","Age at least 21 years","Dhaka (Banani)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"3DS Max Artist (English & Bangla Speakers)","Design Creative","Orendt Studios","Not specific","ORENDT STUDIOS is looking for a 3DS Max Artist to scale the team in Dhaka.
The work is focusing on photorealistic product visualization, like furniture, household products - either as a product shot or in an environment.
Our main software pipeline is 3DS Max & Vray. Therefore, you should have a deep understanding of the software and high-quality visualization of products.
You have the opportunity to collaborate with our international team in a nice and friendly working environment.","ORENDT STUDIOS is looking for a 3DS Max Artist to scale the team in Dhaka.","Full-time","","Knowledge about 3D media projects and several years of experience as a 3DS Max Senior Artist","Dhaka","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Video Editor and Graphic Designer","Design Creative","Western Education Group","20","This is basically full-time employment; you have to do this job at an office located in Shyamoli, Dhaka. However, in limited cases, you can do this job from anywhere in Bangladesh if you do it on a part-time basis.","Editing videos for social media platforms like YouTube, Facebook Watch, Reels, TikTok, Shorts, etc.","Full-time, Part-time","Diploma (Vocational), Bachelor degree in any discipline","Age 20 to 45 years","Anywhere in Bangladesh","Tk. 20000 - 25000 (Monthly)Full-time employees will get 20,000-25,000 Taka per month. Part-time employees will get 10,000-12500 Taka per month.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphic Designer","Design Creative","Stech Group","1","Permanent","Support the marketing department's initiatives to execute marketing","Full-time","Bachelor degree in any discipline","Age 20 to 35 years","Dhaka (Banani)","Tk. 25000 - 30000 (Monthly)Salary will be based on applicants previous work performance & quality.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Content Writer (Web & Blog)","Design Creative","Eicra Soft Ltd.","04","SEO Friendly SEO Content Writer: Search engine optimization , Social media marketing","1. Writing compelling titles that capture the attention of search engine users","Full-time","Educational Qualification can be relaxed for deserving candidates.","Age 22 to 30 years","Dhaka","NegotiableSalary will be determined based on the skills and value you bring to the table.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Voice-over Artist (Vocalist)","Design Creative","Western Education Group","15","We are recruiting voiceover artists (vocalists) for different categories like Islam, sports, kids, motivation, and documentaries. Madrasha students are also encouraged to apply. This is a part-time job that can be done from home. However, you can also come to the office to give your voice if you want.","Giving voice to predesignated contents for social media (YouTube and Facebook Watch) audiences","Part-time","Bachelor degree in any discipline","Age 18 to 45 years","Anywhere in Bangladesh","Tk. 12000 - 15000 (Monthly)There are two festival bonuses per year. Each bonus is equal to one month`s basic salary. The basic salary is half of the total salary. There will be a 10 percent increase in total salary each year.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphics Designer & Video Editor","Design Creative","Halalz Bangladesh Ltd.","Not specific","We are looking for a Junior Creative Graphic Designer for overall contents of Web & social media, Product Mockup, Motion Graphics, and Video Editing. He will be get the opportunity to work for a global E-commerce business along with different SaaS platforms.","Make High quality and creative content like social media post images, website banners, etc. by applying design principles, typography, and color theory.","Full-time","Education qualification is optional as long as you have design skills and knowledge.","Age at least 22 years","Dhaka (DOHS Mirpur)","TK. 12000 on probation period.
TK. 20000-25000 after completing the period."
